Year,Crude Rate of Natural Increase,Crude Birth Rate,Crude Death Rate,Total Fertility Rate,Neonatal Mortality Rate,Infant Mortality Rate,Toddler Mortality Rate,Maternal Mortality Rate
1970,25.7,32.4,6.7,4.9,21.4,39.4,4.2,140.8
1971,26.3,32.8,6.6,4.9,20.8,37.2,4,112.2
1972,25.9,32.2,6.3,4.7,21,36.1,3.4,99
1973,24.8,31.1,6.3,4.5,21.4,36.8,3.7,97.4
1974,25.3,31.3,6,4.4,20.5,33.8,3.1,90.1
1975,24.8,30.7,6,4.3,19.3,32.2,3.1,77.3
1976,25.3,30.9,5.7,4.2,16.9,28.8,2.6,72.7
1977,24.5,30.3,5.8,4.1,16.7,29.3,2.9,70.7
1978,24.3,29.7,5.4,4,15.5,26.1,2.3,75.5
1979,25,30.4,5.4,4,14.9,25.1,2.4,59.6
1980,25.4,30.6,5.3,4,14.2,23.8,2.1,56.4
1981,26.3,31.2,4.9,4,12.3,19.9,1.7,53
1982,26,31,5,4,12.1,19.5,1.7,45.4
1983,25.1,30.2,5.1,3.8,12.3,20.2,1.7,35.5
1984,25.9,31,5,3.9,11.4,17.5,1.5,36.1
1985,26.6,31.5,5,4,10.4,16.4,1.4,33.3
1986,25.8,30.6,4.7,3.9,9.9,15.5,1.2,25.4
1987,24.7,29.3,4.5,3.7,9.3,14.5,1.1,24
1988,25,29.7,4.6,3.7,9.1,14.1,1.1,24.2
1989,22.2,26.8,4.6,3.4,8.6,13.4,1,19.6
1990,23.3,27.9,4.6,3.5,8.5,13.1,0.9,18.6
1991,23,27.6,4.5,3.4,8.1,12.5,0.9,19.2
1992,23.2,27.7,4.5,3.5,7.9,12.1,0.8,19.5
1993,23.2,27.6,4.5,3.5,7.5,11.3,0.8,19.6
1994,22.2,26.7,4.5,3.4,7.1,10.9,0.8,19.2
1995,21.5,26.1,4.6,3.3,6.8,10.3,0.8,19.3
1996,21.1,25.6,4.5,3.2,6,9,0.7,15.6
1997,20.4,24.8,4.5,3.1,6,9.4,0.7,16.8
1998,18.8,23.5,4.8,3,6.3,10.6,0.8,29.1
1999,17.9,22.8,4.9,2.9,5.5,9.3,0.7,36.2
2000,18.6,22.9,4.3,2.9,3.1,6,0.5,24.4
2001,16.7,21,4.3,2.7,3.7,6.5,0.5,29.9
2002,15.7,20.2,4.5,2.6,3.8,6.9,0.5,32.2
2003,14.7,19.2,4.5,2.5,3.7,6.6,0.5,28.5
2004,14.4,18.9,4.4,2.5,3.7,6.5,0.4,27.2
2005,13.8,18.2,4.4,2.4,3.9,6.7,0.4,27.4
2006,13.4,17.8,4.4,2.3,3.8,6.3,0.4,26.9
2007,13.3,17.7,4.5,2.3,3.8,6.3,0.4,28.8
2008,13.3,17.9,4.6,2.3,4,6.4,0.4,27
2009,13.2,17.9,4.7,2.2,4.3,6.9,0.4,26.7
2010,12.6,17.2,4.6,2.1,4.3,6.7,0.4,26.1
