distance,price
4082.015,16.7
121.7262,46.1
156.2442,36.9
461.7848,35.7
2288.011,23.2
439.7105,38.4
1626.083,29.4
289.3248,55
169.9803,50.2
3079.89,24.7
289.3248,53
1264.73,19.1
1643.499,24.7
537.7971,42.2
318.5292,78
104.8101,42.8
577.9615,41.6
1756.411,27.3
250.631,42
752.7669,37.5
379.5575,49.8
272.6783,26.9
4197.349,18.6
964.7496,37.7
187.4823,33.1
197.1338,42.5
1712.632,31.3
488.8193,38.1
56.47425,62.1
757.3377,36.7
1497.713,23.6
4197.349,19.2
1156.777,12.8
4519.69,15.6
617.7134,39.6
104.8101,38.4
1013.341,22.8
337.6016,36.5
1867.233,35.6
600.8604,30.9
258.186,36.3
329.9747,50.4
270.8895,42.9
750.0704,37
90.45606,53.5
563.2854,46.6
3085.17,41.2
185.4296,37.9
1712.632,30.8
6488.021,11.2
259.6607,53.7
104.8101,47
492.2313,42.3
2180.245,28.6
2674.961,25.7
2147.376,31.3
1360.139,30.1
383.8624,60.7
211.4473,45.3
338.9679,44.9
193.5845,45.1
2408.993,24.7
87.30222,47.1
281.205,63.3
967.4,40
109.9455,48
614.1394,33.1
2261.432,29.5
1801.544,24.8
1828.319,20.9
350.8515,43.1
2185.128,22.8
289.3248,42.1
312.8963,51.7
157.6052,41.5
274.0144,52.2
390.5684,49.5
1157.988,23.8
1717.193,30.5
49.66105,56.8
587.8877,37.4
292.9978,69.7
289.3248,53.3
132.5469,47.3
3529.564,29.3
506.1144,40.3
4066.587,12.9
82.88643,46.6
185.4296,55.3
2103.555,25.6
2251.938,27.3
122.3619,67.7
377.8302,38.6
1939.749,31.3
443.802,35.3
967.4,40.3
4136.271,24.7
512.5487,42.5
918.6357,31.9
1164.838,32.2
1717.193,23
170.1289,37.3
482.7581,35.5
2175.03,27.7
187.4823,28.5
161.942,39.7
289.3248,41.2
130.9945,37.2
372.1386,40.5
2408.993,22.3
2175.744,28.1
4082.015,15.4
90.45606,50
390.9696,40.6
104.8101,52.5
90.45606,63.9
