gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,1,1,29.85,29.85,Not Churn
1,0,0,0,34,1,0,1,1,0,1,0,0,0,1,0,2,56.95,1889.50,Not Churn
1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,2,53.85,108.15,Churn
1,0,0,0,45,0,2,1,1,0,1,1,0,0,1,0,3,42.3,1840.75,Not Churn
0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,70.7,151.65,Churn
0,0,0,0,8,1,1,2,0,0,1,0,1,1,0,1,1,99.65,820.50,Churn
1,0,0,1,22,1,1,2,0,1,0,0,1,0,0,1,3,89.1,1949.40,Not Churn
0,0,0,0,10,0,2,1,1,0,0,0,0,0,0,0,2,29.75,301.90,Not Churn
0,0,1,0,28,1,1,2,0,0,1,1,1,1,0,1,1,104.8,3046.05,Churn
1,0,0,1,62,1,0,1,1,1,0,0,0,0,1,0,3,56.15,3487.95,Not Churn
1,0,1,1,13,1,0,1,1,0,0,0,0,0,0,1,2,49.95,587.45,Not Churn
1,0,0,0,16,1,0,0,2,2,2,2,2,2,2,0,3,18.95,326.80,Not Churn
1,0,1,0,58,1,1,2,0,0,1,0,1,1,1,0,3,100.35,5681.10,Not Churn
1,0,0,0,49,1,1,2,0,1,1,0,1,1,0,1,3,103.7,5036.30,Churn
1,0,0,0,25,1,0,2,1,0,1,1,1,1,0,1,1,105.5,2686.05,Not Churn
0,0,1,1,69,1,1,2,1,1,1,1,1,1,2,0,3,113.25,7895.15,Not Churn
0,0,0,0,52,1,0,0,2,2,2,2,2,2,1,0,2,20.65,1022.95,Not Churn
1,0,0,1,71,1,1,2,1,0,1,0,1,1,2,0,3,106.7,7382.25,Not Churn
0,0,1,1,10,1,0,1,0,0,1,1,0,0,0,0,3,55.2,528.35,Churn
0,0,0,0,21,1,0,2,0,1,1,0,0,1,0,1,1,90.05,1862.90,Not Churn
1,1,0,0,1,0,2,1,0,0,1,0,0,1,0,1,1,39.65,39.65,Churn
1,0,1,0,12,1,0,0,2,2,2,2,2,2,1,0,3,19.8,202.25,Not Churn
1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,2,20.15,20.15,Churn
0,0,1,0,58,1,1,1,0,1,0,1,0,0,2,1,3,59.9,3505.10,Not Churn
1,0,1,1,49,1,0,1,1,1,0,1,0,0,0,0,3,59.6,2970.30,Not Churn
0,0,0,0,30,1,0,1,1,1,0,0,0,0,0,1,3,55.3,1530.60,Not Churn
1,0,1,1,47,1,1,2,0,1,0,0,1,1,0,1,1,99.35,4749.15,Churn
1,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,1,30.2,30.20,Churn
1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,3,90.25,6369.45,Not Churn
0,0,0,1,17,1,0,1,0,0,0,0,1,1,0,1,2,64.7,1093.10,Churn
0,1,1,0,71,1,1,2,1,1,1,1,0,0,2,1,3,96.35,6766.95,Not Churn
1,1,1,0,2,1,0,2,0,0,1,0,1,1,0,1,3,95.5,181.65,Not Churn
0,0,1,1,27,1,0,1,1,1,1,1,0,0,1,0,2,66.15,1874.45,Not Churn
1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,3,20.2,20.20,Not Churn
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,45.25,45.25,Not Churn
0,0,1,1,72,1,1,2,1,1,0,1,1,0,2,0,3,99.9,7251.70,Not Churn
1,0,0,0,5,1,0,2,0,0,0,0,0,0,0,1,1,69.7,316.90,Churn
